Episode,Start Time,End Time,Speaker,Transcript,Notes
1,00:00:11,00:00:17,Jerome Demelius,Moin! Leute wie ihr seht bin ich im Zug.,
1,00:00:17,00:00:20,Jerome Demelius,Ein bisschen aus der Puste. Ich stehe hier gerade am Bahnhof.,
1,00:00:21,00:00:29,Jerome Demelius,Denk mir nichts Böses und Digga: Du hast dein Zugticket zu Hause ja. Bin gerannt wie ein Gestörten. Schneller als Usain Bolt.,
1,00:00:36,00:00:41,Nathan Palme,"Ja hallo Leute ähm, ja, ich sitze jetzt äh im Zug äh auf dem Weg äh zur Kaserne.",
1,00:00:41,00:00:50,Julia Weisshuhn,"Ich habe momentan einen mega nervösen Magen. Ich würd gerne was Essen. Nein Ich freu mich mega. Ich habe glaube ich... Ich will, dass es losgeht.",
1,00:00:52,00:00:53,Bahnmitarbeiter,Etwas vom Bistro?,
1,00:00:53,00:00:53,Mitfahrer,Einen Kaffee würde ich nehmen.,
1,00:00:53,00:00:53,Bahnmitarbeiter,Einen Kaffee?,
1,00:00:55,00:00:57,Jerome Demelius,Momentan nicht. Ne. ,
1,00:00:56,00:00:57,Bahnmitarbeiter,Danke.,
1,00:00:56,00:00:57,Jerome Demelius,Bescheiden.,
1,00:00:58,00:01:08,Hauptbootsmann Loose,"Ja Moin, herzlich willkommen in Parow. Heute ist der erste Tag zur Einberufung. Wir haben es noch früh am Morgen.So viel ist noch nicht los. Die kommen heute erst mal an. Round about gegen Mittag meistens.",
1,00:01:11,00:01:13,Nathan Palme,Und dann stell ich die mal hier kurz vor.,
1,00:01:13,00:01:15,Marvin Baunach,Hi. Ich bin Marvin.,
1,00:01:15,00:01:15,Max,Hallo ich bin Max.,
1,00:01:15,00:01:15,Nathan Palme,Moin.,
1,00:01:16,00:01:21,Rekrut1,"Ja, bei mir geht's jetzt eigentlich mit der Aufregung ein bisschen. Also heute Morgen war es schlimmer, aber mittlerweile habe ich mich ein bisschen beruhigt.",
1,00:01:21,00:01:26,Marvin Baunach,Also ich gehe auch in die neun der Elektronik. Ähm Auf der Fregatte Hessen soll ich eingesetzt werden.,
1,00:01:28,00:01:34,Jerome Demelius,"Gucken wir uns mal jezt die Gegend an, wo wir hier gelandet sind. Auf welchem Kuhdorf. Ufde Ufde Ufde Uff.",
1,00:01:34,00:01:39,Nathan Palme,Die Zugfahrt ist jetzt auch schon wieder fast vorbei. Äh Halbe Stunde noch bis nach Stralsund.,
1,00:01:39,00:01:41,Jerome Demelius,So wir sind jetzt da. Steigen jetzt aus.,
1,00:01:42,00:01:43,Rekrut2,"Hopp, hopp wir sind da.",
1,00:01:50,00:02:02,Julia Weisshuhn,"Wir sind jetzt angekommen.
Wir suchen jetzt die Anderen und halt den Ort, wo wir jetzt hin müssen.",
1,00:02:13,00:02:17,Lukas Keitel,"Wir sind jetzt da. Ein bisschen mehr als zwölfeinhalb Stunden unterwegs, aber sonst bin ich einfach nur froh, dass ich hier bin!",
1,00:02:17,00:02:18,Obergefreiter Bakali,in der zehnten. Sie gehören zu uns.,
1,00:02:18,00:02:20,Lukas Keitel,"Oh, guck mal, was jetzt, was jetzt auf mich zukommt.",
1,00:02:21,00:02:29,Obergefreiter Bakali,"Dafür, dass ich gute Laune heute habe und alle angrinsen kann. Passt das ja. Da fühlen sie sich zumindest besser, wenn die ankommen.",
1,00:02:40,00:02:55,Julia Weisshuhn,"Na mal gucken ob Max noch was geschrieben hat. Es wurde auch viel erzählt, also dass ich hier also so eine schöne Stadt sein. Ich hoffe, dass wir am Wochenende nen bisschen davon sehen werden.",
1,00:02:54,00:03:14,Dominik Mönig,"Also ja Papa geworden bin ich am 17. 6. dieses Jahr. Das ist ein Junge geworden. Die Frau sagt sie kriegt das hin. Sie unterstützt mich damit. Wir haben uns da echt sauber drüber unterhalten, mit ins kleinste Detail gegangen und sowas. Also wenn so kleine Skrupel da dran gewesen, also dann hätte ich wahrscheinlich auch gesagt, ich sag nein. Aber sie steht da voll und ganz hinter mir.",
1,00:03:21,00:03:23,Hauptbootsmann Loose,"Ja, nach der Unterschrift sind sie dann Soldaten.",
1,00:03:40,00:03:44,Julia Weisshuhn,"So, wir sind da. Du weißt wo wir hin müssen, nein. ",
1,00:03:44,00:03:49,Jerome Demelius,"So Leute, sind jetzt angekommen. Suche jetzt gerade unser Gebäude.",
1,00:03:51,00:03:54,Julia Weisshuhn,"Das weiß ich doch selber nicht, wo ich hin muss. Woher soll ich denn das wissen?",
1,00:03:57,00:03:58,Jerome Demelius,"Alles, alles verwirrend.",
1,00:04:00,00:04:00,Julia Weisshuhn,Nach was müssen wir uns denn sortieren?,
1,00:04:01,00:04:03,Jerome Demelius,Man alles. Alles unorganisierte Leute hier hörma.,
1,00:04:04,00:04:09,Julia Weisshuhn,"Das Problem ist momentan, dass ich einen Zettel vergessen hab, wo draufsteht, in welche Gruppe ich bin.",
1,00:04:09,00:04:13,Jerome Demelius,Genau jetzt gucken wir mal! Was jetzt der erste Schritt ist ne.,
