Episode,Start Timecode,End Timecode,Speaker,Transcript,Notes
8,00:00:12:21,00:00:22:04,Obermaat Scholwin,"Wir lassen die jetzt schlafen, weil die haben jetzt die Chance, sich so zehn Minuten, Viertelstunde runterzufahren. Das ist auch gewollt, dass sie wirklich einmal runterfahren. Das heißt, sie sollen jetzt wirklich die Vorbereitungen treffen.",
8,00:00:22:04,00:00:26:13,Nathan Palme,Halt ein bisschen üben für den Ernstfall sozusagen. Falls wir mal mitten in der Nacht geweckt werden müssen.,
8,00:00:26:14,00:00:31:24,Obermaat Scholwin,"Wir werden sie dann so gegen 14:30, 14:40, werden wir sie dann mit dem Alarm wecken.",
8,00:00:32:06,00:00:35:08,Hauptbootsmann Peterson,"Ja, die Alarmsirene, die wir hier verwenden, nehmen wir mit hoch und machen gleich ein bisschen Krach da Oben.",
8,00:00:36:00,00:00:36:22,Leon von Garrel,Erste Feldflasche.,
8,00:00:41:04,00:00:42:14,Leon von Garrel,Hier sind zwei Feldflaschen voll.,
8,00:00:42:23,00:00:45:23,Marvin Baunach,Ich bin etwas geschafft von heute schon. Aber es muss ja weitergehen.,
8,00:00:46:04,00:00:53:22,Jerome Demelius,Man hat nicht den Willen. Man hat einfach den Schalter im Kopf an. Einfach machen. Einfach machen. Einfach machen. Gar nicht. Gar nicht beschweren. Einfach nicht denken. Einfach machen.,
8,00:00:53:23,00:00:58:19,Nathan Palme,Wir müssen gleich Vorhange zu machen. Licht aus und ja halt so wie wir halt schlafen.,
8,00:00:59:06,00:01:01:04,Hauptbootsmann Peterson,"Wir gehen jetzt hoch und gucken, ob sie auch alle liegen und schlafen.",
8,00:01:01:14,00:01:02:06,Leon von Garrel,"Was, jetzt schon am pennen?",
8,00:01:03:04,00:01:05:03,Jerome Demelius,"Ja, digga hast mal auf die Uhr geguckt? ",
8,00:01:06:10,00:01:09:20,Daniel Wittwer,Or Mann jetzt seh doch mal zu. Ab in die Koje. Jetzt. ,
8,00:01:09:20,00:01:13:13,Sebastian Arendt,Entspannt bleiben. ,
8,00:01:14:03,00:01:31:03,Jerome Demelius,Mach Licht aus hier. ,
8,00:01:31:03,00:01:36:01,Stabs­gefreiter Neubert,Machen Sie das Licht aus. Wieso ist denn hier das Licht an? Was ist denn bei euch nicht in Ordnung?,
8,00:01:36:07,00:01:37:16,Anna-Lena Drafke,Bluse an! Jacke an!,
8,00:01:38:02,00:01:40:05,Stabs­gefreiter Neubert,Bewegung! Wo bleibt die zwote Gruppe. ,
8,00:01:40:13,00:01:40:21,Anna-Lena Drafke,Schuhe an.,
8,00:01:42:11,00:01:51:11,Hauptbootsmann Peterson,Wo bleibt die dritte Gruppe?,
8,00:01:51:13,00:01:57:11,	Oberbootsmann Sowa,Hier hinten ran.,
8,00:02:01:06,00:02:07:06,Jerome Demelius,"Brauch noch den Truppenausweis. Scheiß drauf, komm mit.",
8,00:02:07:06,00:02:19:06,	Oberbootsmann Sowa,"Joa, ihr zeigt mir jetzt eure Wasserflasche. Rausholen. Flasche aufmachen.",
8,00:02:22:09,00:02:25:00,	Oberbootsmann Sowa,"Wie, was ist das hier? Wollen Sie sich erkälten? Machen Sie den Rucksack zu.",
8,00:02:25:06,00:02:25:13,Unbekannter Rekrut,Jawohl.,
8,00:02:25:21,00:02:28:03,Stabs­gefreiter Neubert,So kommen Sie. Das dauert jetzt doch keine Ewigkeit.,
8,00:02:28:03,00:02:34:09,Hauptbootsmann Loose,"Überhaupt nicht. Dafür, dass angesagt wurde, dass ein Probealarm ist. In der ganzen Hinsicht hat das viel zu lange gedauert. Das Ganze.",
8,00:02:34:09,00:02:39:11,Stabs­gefreiter Neubert,"Also, das Licht bleibt grundsätzlich aus. Das Ziel soll wirklich sein, dass Sie alles im Dunkeln machen. Umso besser kommen Sie auch klar nachts.",
8,00:02:39:19,00:02:40:18,Hauptbootsmann Loose,Übung. Übung. Übung.,
8,00:02:42:00,00:02:44:05,	Oberbootsmann Sowa,"Rann, Wegtreten, Marsch.",
8,00:02:45:18,00:02:49:03,Unbekannter Rekrut,Schön anstrengend wird das bei so einem zwölf Kilometer Marsch.,
8,00:02:49:03,00:02:50:22,Stabs­gefreiter Neubert,So zwote Gruppe im lockeren Laufschritt.,
8,00:02:53:07,00:02:56:09,	Oberbootsmann Sowa,"Normalerweise geht es mit mehr Tempo, ja. Ich könnte auch hier gehen. So langsam ist das.",
8,00:02:59:01,00:03:03:04,Kevin-Jack Baumann,Ich hab mich jetzt bis jetzt eben gequält. So ein bisschen. Jetzt geht nicht mehr.,
8,00:03:03:15,00:03:06:00,Stabs­gefreiter Neubert,"Ein Schritt zulegen. Kommt Leute, kommt.",
8,00:03:13:01,00:03:13:12,Patrick Döring,"Wer kann, helfen.",
8,00:03:13:12,00:03:17:04,Stabs­gefreiter Neubert,"Das geht im Moment noch, denke bei 100 Meter wird das anders aussehen.",
8,00:03:22:18,00:03:25:21,Matrose Balthaus,Vergessen gerade. Schlimmste Gefühl gerade.,
8,00:03:26:05,00:03:28:13,Unbekannter Rekrut,"Komm. Also los, komm, Komm, Komm. Gehen.",
8,00:03:28:16,00:03:35:21,Stabs­gefreiter Neubert,Wollen Sie aufschließen?,
8,00:03:38:12,00:03:39:20,Stabs­gefreiter Neubert,Alles gut.,
8,00:03:39:20,00:03:40:04,	Oberbootsmann Sowa,Ganz ruhig.,
8,00:03:40:06,00:03:41:07,Stabs­gefreiter Neubert,Rucksack übernehmen.,
8,00:03:42:05,00:03:48:09,	Oberbootsmann Sowa,Rein und raus. Atmen. Ganz ruhig.,
8,00:03:48:09,00:03:53:22,Julia Weißhuhn,Ich fand das jetzt mit dem Marschieren am Schlimmsten.,
8,00:03:53:22,00:04:05:01,	Oberbootsmann Sowa,"Im Großen und Ganzen war es okay. Alle haben reagiert. Keiner ist liegen geblieben. Aber die Zeit, Na klar. Immer verbesserungswürdig, sage ich mal. Es geht immer schneller. Wir warten mal ab. Vielleicht üben wir das noch ein paar Mal, damit es besser geht.",
8,00:04:05:01,00:04:07:00,Nathan Palme,"Ich schon, aber die Beine tun mir extrem weh.",
8,00:04:07:04,00:04:09:08,Jerome Demelius,"Wir sagen die immer so schön. Kopf aus, Beine an!",
8,00:04:09:10,00:04:14:11,Kevin-Jack Baumann,"Ich hab was mit dem Knie. Immer wenn ich aufhöre, dann fängt das irgendwie nach 100 Metern an so doll weh zu tun.",
8,00:04:14:13,00:04:16:10,Jerome Demelius,Mir brennt das Facing. Ich weiß gar nicht warum.,
8,00:04:16:17,00:04:18:08,Lukas Keitel,Laufschritt ist schon auf jeden Fall anstrengend.,
8,00:04:18:14,00:04:20:16,Dominik Mönig,"Ja, ich könnte mir auch Besseres vorstellen, Aber. ",
8,00:04:21:01,00:04:23:21,Leon von Garrel,Das kann doch nicht so schwer. Er hat sein T Shirt falsch rum angezogen heut Nacht der Mann.,
8,00:04:27:14,00:04:29:24,Jerome Demelius,"Oh, lecker ey. Aphrodisiakum nenne ich sowas.",
8,00:04:29:24,00:04:34:16,Julia Weißhuhn,"Es war hart, aber das nächste Mal wird besser. Und das erlebt ihr bei Die Rekruten.",
8,00:04:36:08,00:04:36:23,Leon von Garrel,Auf Wiedersehen.,
